baker_uncertainty_index,foreign_investment_net,cargo_traffic_domestic,cargo_traffic_international,automobile_monthly,automobile_sales_passenger,automobile_sales_two_wheeler,aircraft_international,cargo_domestic,cargo_international,passenger_india,freight_traffic,foreign_exchange_earning,foreign_tourist_arrival,scheduled_bank_liabilities,scheduled_bank_demand_time_deposit,scheduled_bank_deposits,scheduled_bank_demand_deposits,ceic_leading_indicator,repo_rate,crr,electricity_generation,bse_sensex_average,mutual_fund_equity,mutual_fund_debt,exports_usd,import_usd,import_usd_oil,export_inr_india,import_inr,currency_with_public,demand_deposit_with_bank,money_supply_m4,money_supply_m3,money_supply_m2,net_bank_to_govt_m3,inbound_tourism_earning,foreign_tourist_arrival.1,aircraft_movement_india,cargo_traffic,cargo_traffic_international.1,passenger_traffic,freight_traffic.1,gdp_yoy_pct
-0.303602,-1.070281,-1.668604,-1.861801,-1.677164,-1.723204,-1.655887,-1.684803,-1.668604,-1.861801,-1.050981,-1.690599,-1.191799,-1.04935,-1.104533,-1.042172,-1.270692,-1.233098,-1.525331,0.71786,0.040878,-1.337685,-1.369953,-0.43902,-1.060449,-1.79374,-1.838354,-1.68732,-1.389897,-1.421201,-1.190467,-1.260155,-1.247912,-1.263728,-1.207567,-1.172997,-1.191799,-1.04935,-1.684803,-1.668604,-1.861801,-1.050981,-1.690599,-0.717937
-0.538084,-0.989892,-1.639202,-1.83385,-1.650239,-1.805772,-1.588787,-1.757783,-1.639202,-1.83385,-0.897783,-1.744876,-1.232742,-1.412186,-1.111022,-1.025671,-1.26001,-1.214282,-0.786891,0.452578,-0.036233,-1.329522,-1.376281,-0.437779,-0.965352,-1.825854,-1.8018,-1.710529,-1.411753,-1.403996,-1.170766,-1.234896,-1.23523,-1.251059,-1.186527,-1.147892,-1.232742,-1.412186,-1.757783,-1.639202,-1.83385,-0.897783,-1.744876,-0.285829
-0.72567,-0.856817,-1.505775,-1.831771,-1.577543,-1.686683,-1.536925,-1.698787,-1.505775,-1.831771,-0.940338,-1.754265,-1.194086,-1.224785,-1.106176,-1.042267,-1.251991,-1.210407,-0.956472,0.452578,-0.190455,-1.317989,-1.32442,-0.416216,-0.931761,-1.781062,-1.796967,-1.705817,-1.393874,-1.406503,-1.174309,-1.241657,-1.229497,-1.245742,-1.19032,-1.146136,-1.194086,-1.224785,-1.698787,-1.505775,-1.831771,-0.940338,-1.754265,0.184392
-0.944519,-0.614097,-1.494653,-1.75458,-1.525596,-1.707692,-1.442517,-1.58592,-1.494653,-1.75458,-0.886931,-1.644831,-1.157432,-0.898443,-1.19016,-1.094323,-1.245492,-1.192672,0.102417,0.452578,-0.190455,-1.301928,-1.258895,-0.384629,-0.973947,-1.708103,-1.725811,-1.639429,-1.358401,-1.370669,-1.159358,-1.21394,-1.219815,-1.236269,-1.17073,-1.140301,-1.157432,-0.898443,-1.58592,-1.494653,-1.75458,-0.886931,-1.644831,0.942529
-0.663141,-0.645683,-1.465349,-1.663985,-1.496024,-1.432809,-1.465068,-1.451601,-1.465349,-1.663985,-0.94438,-1.505177,-1.090585,-0.77802,-1.187022,-1.072098,-1.231352,-1.161115,1.077491,0.187296,-0.190455,-1.284839,-1.211707,-0.397763,-1.009718,-1.610373,-1.706291,-1.610703,-1.309114,-1.361748,-1.143367,-1.185,-1.2063,-1.222906,-1.150099,-1.134424,-1.090585,-0.77802,-1.451601,-1.465349,-1.663985,-0.94438,-1.505177,0.491747
0.642141,-1.090216,-1.40876,-1.582843,-1.531128,-1.618721,-1.486548,-1.5189,-1.40876,-1.582843,-0.856717,-1.636909,-1.207827,-1.210526,-1.149872,-1.044854,-1.216669,-1.149209,-0.906483,-0.343269,-0.190455,-1.260688,-1.243977,-0.399959,-1.037771,-1.669997,-1.659791,-1.508915,-1.342646,-1.338686,-1.121964,-1.166621,-1.190866,-1.207516,-1.130769,-1.126387,-1.207827,-1.210526,-1.5189,-1.40876,-1.582843,-0.856717,-1.636909,0.455489
-0.772566,-1.019148,-1.222292,-1.507902,-1.422535,-1.490728,-1.373569,-1.434319,-1.222292,-1.507902,-0.722457,-1.603463,-1.154058,-1.053088,-1.15877,-1.075065,-1.209488,-1.14134,-0.840893,-0.343269,-0.113344,-1.250053,-1.25014,-0.463077,-1.017229,-1.631746,-1.621518,-1.496525,-1.312859,-1.309949,-1.126465,-1.167033,-1.187248,-1.204446,-1.132751,-1.126186,-1.154058,-1.053088,-1.434319,-1.222292,-1.507902,-0.722457,-1.603463,0.400784
-0.639693,-0.51442,-1.215196,-1.420152,-1.307754,-1.464982,-1.196594,-1.228172,-1.215196,-1.420152,-0.661816,-1.456035,-1.035231,-0.583902,-1.023116,-1.091161,-1.201897,-1.101665,-0.475479,-0.343269,0.272212,-1.237815,-1.197972,-0.49512,-1.007741,-1.549872,-1.542973,-1.538362,-1.279942,-1.276907,-1.112763,-1.135713,-1.1794,-1.196893,-1.11227,-1.12925,-1.035231,-0.583902,-1.228172,-1.215196,-1.420152,-0.661816,-1.456035,0.08931
-0.921071,-0.61332,-1.260246,-1.403589,-1.337989,-1.328705,-1.30683,-1.122456,-1.260246,-1.403589,-0.710541,-1.31066,-0.891759,-0.586915,-1.047691,-1.086017,-1.191335,-1.096824,-0.710763,-0.343269,0.272212,-1.206654,-1.16635,-0.320445,-0.906542,-1.351379,-1.428385,-1.413188,-1.190064,-1.227222,-1.098609,-1.12079,-1.164014,-1.181526,-1.097932,-1.122921,-0.891759,-0.586915,-1.122456,-1.260246,-1.403589,-0.710541,-1.31066,0.415034
-0.444291,-0.936429,-1.256613,-1.342412,-1.352949,-1.519006,-1.296355,-1.350653,-1.256613,-1.342412,-0.535002,-1.358336,-1.071085,-1.094736,-0.904678,-1.044455,-1.173511,-1.072808,-0.697675,-0.343269,0.272212,-1.167446,-1.162066,-0.282749,-0.82347,-1.45532,-1.367129,-1.337483,-1.243845,-1.196657,-1.071664,-1.087131,-1.145902,-1.163423,-1.069914,-1.118891,-1.071085,-1.094736,-1.350653,-1.256613,-1.342412,-0.535002,-1.358336,0.599193
