m1,credit,fuel,exports,crr,exchange,sensex,electricity_generation,cement,gdp
12.82333333,9.773333333,27.25,4.443,10,1.785333333,7.621,3.874,36.42866667,3.27
12.50566667,10.19666667,29.095,2.890333333,10,2.604333333,4.273333333,5.492666667,35.54,4
12.17633333,11.244,29.689,9.720333333,10,1.054666667,17.49133333,8.944,31.91766667,4.01
12.52933333,12.31633333,30.877,6.719333333,9.75,6.4,20.66066667,3.549,36.001,4.92
11,16.039,30.95333333,0.3433333333,10.25,9.334,3.446,9.71,39.862,5.86
11.45966667,15.947,31.226,-8.781333333,10,15.18633333,-7.046333333,10.08466667,37.03,6.51
11.62133333,16.87433333,30.912,-4.048666667,10.66666667,17.88233333,-23.40733333,5.555,33.284,6.2
12.20066667,16.68233333,30.919,-3.688666667,11,11.69133333,-21.20033333,5.675333333,37.46633333,6.2
14.80066667,13.444,31.38,-2.966666667,10.83333333,8.244333333,-2.413666667,4.813333333,43.71466667,7.53
14.323,14.64733333,32.05766667,6.039,10.16666667,4.367333333,5.966666667,4.587666667,44.84266667,6.93
14.57333333,15.364,32.56066667,12.59133333,10,2.179,53.99366667,10.21133333,38.75866667,7.29
15.93766667,18.483,35.048,12.07866667,9.333333333,2.228666667,62.10566667,5.265666667,41.51666667,7.79
13.911,19.069,37.68233333,12.40266667,9,2.684333333,50.31433333,5.872,47.99566667,5.22
12.66666667,22.14533333,40.645,26.63133333,8,3.022666667,22.197,5.074333333,46.47266667,5.3
11.27566667,23.83633333,42.69933333,16.461,8.416666667,4.968,-9.506333333,1.421666667,39.73833333,3.64
11.40866667,21.23633333,45.81566667,20.141,8.5,7.727,-16.88633333,10.112,41.566,2.06
9.622333333,18.88466667,46.48633333,17.86233333,8.25,6.741,-22.27933333,1.429,43.72266667,4.04
12.055,15.19,46.626,0.03566666667,7.666666667,6.005666667,-23.24366667,1.982333333,47.56766667,3.95
12.36733333,14.30233333,47.15,-2.353,7.5,3.885333333,-26.99966667,4.615333333,41.61533333,6.29
10.465,13.534,48.11433333,-3.977666667,6.25,2.671333333,-18.362,1.987,44.859,6.57
11.26833333,14.15,47.92566667,2.594333333,5.5,4.675666667,-14.448,4.396,50.17733333,5.05
11.12666667,21.845,48.61033333,17.227,5.333333333,4.244666667,-8.405,3.947666667,51.43666667,4.38
11.54733333,24.122,49.973,26.20466667,5,2.398,-1.943666667,3.294333333,46.45633333,2.12
12.427,23.77866667,50.33633333,21.21766667,4.833333333,0.3963333333,0.1326666667,4.752333333,49.17266667,3.58
12.98333333,24.263,51.95033333,19.89066667,4.75,-2.202,-7.259333333,1.468,53.43733333,5.55
13.13166667,16.02833333,52.03433333,10.99633333,4.666666667,-4.099333333,0.5316666667,4.196,54.096,7.69
13.45166667,11.507,52.64933333,7.76,4.5,-5.31,36.41433333,1.911333333,49.25533333,11.13
16.27,12.889,53.627,30.89266667,4.5,-5.416333333,65.16833333,4.265333333,51.92266667,9.08
18.93166667,14.55633333,54.976,35.161,4.5,-6.306,77.06766667,9.903666667,57.455,8.92
17.17466667,19.06933333,55.607,31.91966667,4.5,-3.491333333,57.882,6.102,55.83766667,8.67
17.98333333,23.63733333,58.52033333,28.07033333,4.583333333,0.8056666667,28.009,9.67,52.493,7.25
17.24833333,31.455,60.75966667,26.99633333,5,-2.251333333,17.419,3.783666667,57.65133333,8.73
14.52933333,30.48133333,63.158,38.48466667,5,-2.108,16.568,1.627,60.76966667,9.57
16.022,31.537,64.04933333,33.31633333,5,-3.699666667,33.30966667,7.591666667,63.547,8.5
19.145,34.12566667,67.379,31.412,5,-5.345333333,50.88366667,2.054666667,57.16,9.12
18.22733333,29.87066667,69.24166667,20.236,5,1.776666667,40.81633333,4.822666667,63.396,9.93
23.624,33.203,69.42,12.75733333,5,1.556333333,59.83366667,6.314,70.63333333,8.09
22.22166667,32.07,70.86666667,23.68566667,5,5.067333333,66.00133333,5.301,70.00933333,10.13
20.11433333,30.92266667,73.126,31.44366667,5,5.707,44.945,8.179666667,63.47133333,9.25
19.222,29.20066667,72.591,23.103,5.083333333,-1.544333333,55.59133333,9.209333333,69.556,9.56
18.185,29.10366667,70.966,15.838,5.75,-0.784,27.56566667,6.517,74.96033333,10.73
13.09333333,25.59466667,70.66833333,23.554,6.5,-10.67566667,31.052,8.266666667,75.07366667,9.11
15.31833333,23.31733333,70.946,17.27533333,6.833333333,-12.86466667,38.17233333,7.009,70.00966667,10.9
16.526,22.845,71.87733333,37.38366667,7.333333333,-11.64366667,47.19,4.617666667,73.50533333,8.54
18.33733333,23.008,74.15633333,37.67866667,7.5,-9.678,26.93166667,5.695333333,81.83833333,6.97
19.131,24.98666667,79.923,57.17033333,8.083333333,2.652,9.789,1.962,79.41966667,6
17.54266667,25.31,85.888,39.55733333,8.916666667,10.032,-12.74433333,3.198666667,73.63733333,2.67
12.53266667,26.62366667,80.93366667,-8.609333333,5.666666667,24.60966667,-52.049,2.861333333,80.02433333,0.16
9.927666667,18.83666667,74.176,-19.90466667,5,26.33266667,-44.654,2.912333333,89.17,4.88
13.11466667,16.29433333,74.25533333,-31.857,5,15.53766667,-12.425,5.821,89,6.63
14.70633333,14.55433333,78.25866667,-18.50533333,5,9.103666667,16.633,7.121333333,82.859,8.77
16.98133333,10.45333333,79.88366667,20.641,5,-5.015,76.52966667,4.694333333,86.80766667,13.69
18.26566667,15.915,81.74633333,36.554,5.5,-8.559666667,79.62966667,7.060666667,97.48433333,10.04
17.195,18.95533333,84.63966667,45.86833333,6,-5.312666667,30.65533333,5.688,95.27366667,10.47
17.63733333,19.71266667,87.87,26.22833333,6,-4.569,15.30466667,2.615666667,84.635,10.68
20.22666667,23.836,88.56366667,40.539,6,-3.368666667,19.59366667,5.680666667,90.07733333,9.85
12.586,22.695,91.63533333,47.85033333,6,-1.421,10.48833333,8.143,102.2836667,8.57
8.988666667,20.948,95.42033333,37.08333333,6,-2.408666667,8.216333333,8.225666667,95.547,5.45
4.662,20.887,99.28466667,45.10533333,6,0.5673333333,-7.792333333,10.37866667,91.782,4.74
3.366666667,17.244,101.92,11.85466667,6,13.96766667,-17.88933333,9.562333333,99.74733333,4.28
6.440333333,16.35933333,105.329,5.014666667,5.25,10.33966667,-5.693666667,4.85,112.9236667,4.22
10.28533333,18.00466667,106.1666667,-3.704333333,4.75,23.185,-9.785666667,6.684,105.7273333,6.1
