Date,m1,credit,crr,elec_gen,exchange,exports,fuel,sensex,gdp
01/03/1997,-2.49,-55.25,-28.57,-34.19,-85.43,-67.89,13.41,-237.74,3.27
01/06/1997,5.53,-47.40,-24.05,148.44,-76.49,-78.57,18.67,-74.70,4.00
01/09/1997,7.71,-31.56,-16.67,159.98,-89.74,31.27,9.71,2307.47,4.01
01/12/1997,10.20,1.04,-12.69,-31.15,154.62,-589.19,13.37,-622.40,4.92
01/03/1998,-14.22,64.11,2.50,150.63,422.75,-92.27,13.59,-54.78,5.86
01/06/1998,-8.37,56.39,0.00,83.59,483.14,-403.83,7.32,-264.89,6.51
01/09/1998,-4.56,50.08,6.67,-37.89,1595.33,-141.65,4.12,-233.82,6.20
01/12/1998,-2.62,35.45,12.82,59.90,82.68,-154.90,0.14,-202.61,6.20
01/03/1999,34.55,-16.18,5.69,-50.43,-11.67,-964.22,1.38,-170.05,7.53
01/06/1999,24.99,-8.15,1.67,-54.51,-71.24,-168.77,2.66,-184.68,6.93
01/09/1999,25.40,-8.95,-6.25,83.81,-87.82,-410.99,5.33,-330.67,7.29
01/12/1999,30.63,10.79,-15.15,-7.22,-80.94,-427.44,13.36,-392.95,7.79
01/03/2000,-6.01,41.84,-16.92,22.00,-67.44,-518.03,20.08,-2184.47,5.22
01/06/2000,-11.57,51.19,-21.31,10.61,-30.79,340.98,26.79,272.02,5.30
01/09/2000,-22.62,55.15,-15.83,-86.08,128.00,30.73,31.14,-117.61,3.64
01/12/2000,-28.42,14.90,-8.93,92.04,246.75,66.75,30.72,-127.19,2.06
01/03/2001,-30.83,-0.97,-8.33,-75.66,151.15,44.02,23.36,-144.28,4.04
01/06/2001,-4.83,-31.41,-4.17,-60.94,98.70,-99.87,14.72,-204.71,3.95
01/09/2001,9.68,-40.00,-10.89,224.59,-21.79,-114.29,10.42,184.02,6.29
01/12/2001,-8.27,-36.27,-26.47,-80.35,-65.43,-119.75,5.02,8.74,6.57
01/03/2002,17.11,-25.07,-33.33,207.57,-30.64,-85.48,3.10,-35.15,5.05
01/06/2002,-7.71,43.81,-30.43,99.15,-29.32,48365.35,4.26,-63.84,4.38
01/09/2002,-6.63,68.66,-33.33,-28.62,-38.28,-1213.77,5.99,-92.80,2.12
01/12/2002,18.75,75.69,-22.67,139.16,-85.16,-633.41,4.62,-100.72,3.58
01/03/2003,15.22,71.47,-13.64,-66.60,-147.09,666.70,8.40,-49.75,5.55
01/06/2003,18.02,-26.63,-12.50,6.29,-196.57,-36.17,7.04,-106.33,7.69
01/09/2003,16.49,-52.30,-10.00,-41.97,-321.44,-70.39,5.36,-1973.32,11.13
01/12/2003,30.93,-45.80,-6.90,-10.25,-1466.15,45.60,6.54,49055.07,9.08
01/03/2004,45.82,-40.01,-5.26,574.55,186.41,76.77,5.82,-1161.63,8.92
01/06/2004,30.78,18.97,-3.57,45.44,-14.84,190.27,6.87,10783.84,8.67
01/09/2004,33.69,105.42,1.85,405.84,-115.17,261.73,11.15,-23.08,7.25
01/12/2004,6.01,144.04,11.11,-11.29,-58.43,-12.61,13.30,-73.27,8.73
01/03/2005,-23.25,109.40,11.11,-83.57,-66.57,9.45,14.88,-78.50,9.57
01/06/2005,-6.71,65.38,11.11,24.41,5.97,4.38,15.18,-42.45,8.50
01/09/2005,6.46,44.37,9.09,-78.75,-763.59,11.90,15.14,81.67,9.12
01/12/2005,5.68,-5.04,0.00,27.45,-178.92,-25.04,13.96,134.32,9.93
01/03/2006,62.59,8.93,0.00,288.13,-173.81,-66.85,9.92,261.14,8.09
01/06/2006,38.69,1.69,0.00,-30.18,-236.97,-28.91,10.64,98.14,10.13
01/09/2006,5.06,-9.39,0.00,298.09,-206.77,0.10,8.53,-11.67,9.25
01/12/2006,5.46,-2.24,1.67,90.96,-186.90,14.17,4.84,36.20,9.56
01/03/2007,-23.02,-12.35,15.00,3.21,-150.38,24.14,2.23,-53.93,10.73
01/06/2007,-41.08,-20.19,30.00,55.95,-310.67,-0.55,-0.28,-52.95,9.11
01/09/2007,-23.84,-24.60,36.67,-14.31,-325.40,-45.06,-2.98,-15.07,10.90
